Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
start_c8612445		You're a small plant in a big city.	game/script.rpy	539	"[what]"
start_66008aab		You arrived in this little downtown plant shop this morning, after a few hours in the dark back of a van. You're excited by the prospect of maybe being bought. You're part of the last shipment of Valentine's Day flowers, after all.	game/script.rpy	541	"[what]"
start_9d9cdc2d		But you're also nervous, and curious, as to what floral friends might await you.	game/script.rpy	542	"[what]"
start_3fa592af		As you and your fellow flowers are placed in the shop, you catch a glimpse of some of the other residents...	game/script.rpy	543	"[what]"
start_435be6d1		A dashing rose...	game/script.rpy	545	"[what]"
start_7bbf944b		A kindly cactus...	game/script.rpy	547	"[what]"
start_ea9c64e0		A macho mushroom...	game/script.rpy	549	"[what]"
start_a5d38590		And a sweet sunflower.	game/script.rpy	551	"[what]"
start_8d1e9fd4		You're placed down next to the sunflower.	game/script.rpy	554	"[what]"
start_aef0bfc0	s	Oooo! Fresh flora!	game/script.rpy	557	s "[what]"
start_156162f9	s	Hehe, hi there! What's your name?	game/script.rpy	558	s "[what]"
start_1e74a818	s	Hi Chrys! Welcome to the shop!	game/script.rpy	565	s "[what]"
start_e5fd2224	s	Oh, it's always so exciting when the last of the Valentine's Day shipment comes in!	game/script.rpy	566	s "[what]"
start_1483a367	s	This shop has a deal where you can buy plants in pairs, which means usually you end up leaving with somebody! Teehee!	game/script.rpy	567	s "[what]"
start_e1385d14	s	So it's good to get to know your fellow plants, if you know what I'm saying...	game/script.rpy	569	s "[what]"
start_39609d23	s	Would you like me to introduce you to everybody?	game/script.rpy	571	s "[what]"
start_e68b61bf	s	No problem!	game/script.rpy	575	s "[what]"
start_dcc30d18	s	Soooo, who's up first? Who d'ya wanna meet?	game/script.rpy	582	s "[what]"
meetPlants_fb37d2fa	s	Hey, hey! Welcome back.	game/script.rpy	593	s "[what]"
meetPlants_523fe3a3	s	Want to see someone else?	game/script.rpy	594	s "[what]"
meetPlants_957ef147	s	Teehee, you're interested in cool guy Mushroom, huh? Yeah, they're dreamy...	game/script.rpy	599	s "[what]"
meetPlants_b58d28c2	s	Maybe it's just the spores.	game/script.rpy	601	s "[what]"
meetPlants_1e4c65d0	s	Anyways, I'll take you right to them, they're a bit out of the way.	game/script.rpy	603	s "[what]"
meetPlants_30b524d3	s	Follow me!	game/script.rpy	605	s "[what]"
meetPlants_2cd7923f	s	Oooooo, I love Cactus! They might look abrasive but he's really sweet as a peach! Teehee!	game/script.rpy	608	s "[what]"
meetPlants_13600bb6	s	Oh, Rose! It's like Shakespeare says...	game/script.rpy	611	s "[what]"
meetPlants_67c81957	s	A rose named Rose is... sweet?	game/script.rpy	612	s "[what]"
meetPlants_acc763b2	r	Oh, Sunflower! Allow me to take it from here.	game/script.rpy	613	r "[what]"
meetPlants_d0a3b61a		Looking around, you spot Rose and Cactus near the other succulents. They seem to be practicing something, though by the sounds of it, it's not going great...	game/script.rpy	619	"[what]"
meetPlants_8adb740c		Meanwhile, out of the corner of your vision, you see (and hear) a very, very loud commotion. Is- Is that Sunflower and Mushroom?	game/script.rpy	620	"[what]"
mushroom_c6ac6735		You see a… mushroom? They’re wearing sunglasses? And popping one of the rudest squats you’ve ever seen squatted. The power it radiates? Immense.	game/script.rpy	637	"[what]"
mushroom_04c3b689		They rise to greet you.	game/script.rpy	638	"[what]"
mushroom_2224b5b1	m	New plant in town, huh? Name’s Mushroom! They/them.	game/script.rpy	641	m "[what]"
mushroom_c145d6bb	m	You see a pot on me? Nah there’s just a whole fungal colony growin’ in the walls of this place.	game/script.rpy	645	m "[what]"
mushroom_9b0fba84	m	Hey man, that’s your opinion and I’d ask ya to keep that to yourself.	game/script.rpy	649	m "[what]"
mushroom_14337ce5	m	Just…	game/script.rpy	650	m "[what]"
mushroom_5eb724fe	m	FUNGEDABOUTIT!	game/script.rpy	653	m "[what]"
mushroom_57816975	m	Heh, yeah I’m like your cool, fun neighbor. Always there with a smile and a devil-may-care. Y’know?	game/script.rpy	656	m "[what]"
mushroom_5eb724fe_1	m	FUNGEDABOUTIT!	game/script.rpy	659	m "[what]"
mushroom_0ca1ade8	m	Anyways, if you’re ever lookin’ to ditch these squares ya know where to find me! Maybe we can engage in a friendly little flexing competition. Gotta warn ya though, I’m undefeated!	game/script.rpy	660	m "[what]"
mushroom_d834afee	m	Now, follow me, buddy. Just go right down there and you'll be back with Sunflower.	game/script.rpy	661	m "[what]"
mushroom_00193f75	m	Catch you on the flipside!	game/script.rpy	662	m "[what]"
rose_63a2f3f8	r	Oh, my, my. Hello, gorgeous. Who might you be? 	game/script.rpy	674	r "[what]"
rose_02494019	r	Oh, a shy one, aren't you? Well, I'm sure you'll warm up soon enough, we've got ourselves a fine gathering of the friendliest people around.	game/script.rpy	678	r "[what]"
rose_767df38e	r	Aww, you sure know to make this girl's heart flutter.	game/script.rpy	681	r "[what]"
rose_1f2f9ddb	r	You must be the new flower around here. The name's Rose. It's a pleasure to meet you.	game/script.rpy	683	r "[what]"
rose_d3dda7e9	r	I have to say, you've arrived at quite the interesting time. Around this time, we see a lot of exports, but not too many going the other way.	game/script.rpy	684	r "[what]"
rose_fe74ae33	r	It's always a bit tough to say goodbye to everyone but, that's life.	game/script.rpy	686	r "[what]"
sorry_b57ef56c	r	Oh, honey, don't be.	game/script.rpy	695	r "[what]"
sorry_8b34d524	r	It's...a natural part the cycle of life. Can't say it hurts any less though.	game/script.rpy	696	r "[what]"
sorry_7be4905e	r	I figure the best way to handle it is to just keep living each day out nice and proud. 	game/script.rpy	697	r "[what]"
think_cffc01f3	r	Haha, thanks, love.	game/script.rpy	705	r "[what]"
think_90ad5fb1	r	I sure hope I'm doing the right thing.	game/script.rpy	707	r "[what]"
think_a58929d1	r	I suppose I shouldn't hold you up with my self pity though.	game/script.rpy	708	r "[what]"
think_26d45a81	r	Now, let's get back to business, then?	game/script.rpy	709	r "[what]"
okay_c331422b	r	Sigh...	game/script.rpy	712	r "[what]"
okay_cc00eb4d	r	Look here. I know it's far from perfect, but it's what we've got. If you want all the answers, I'm not your girl.	game/script.rpy	713	r "[what]"
okay_d3125251	r	But I'd like to think I'm a pretty fine-looking gal, and I've rolled a pretty good lot in life all things considered.	game/script.rpy	715	r "[what]"
okay_251905d3	r	I've got no intentions of moping around in regrets, thinking of what could have been and all that nonsense.	game/script.rpy	716	r "[what]"
okay_4d2c59da	r	And I'll be damned if I let any destiny or fate screw with me.	game/script.rpy	717	r "[what]"
okay_cd81266e	r	Ahaha, yes! I'm pretty amazing, aren't I?	game/script.rpy	720	r "[what]"
okay_d366ef06	r	Ahahahaha...oh...	game/script.rpy	723	r "[what]"
okay_aad3cf35	r	Oh god...uh...I really got into it, didn't I?	game/script.rpy	725	r "[what]"
okay_72d997a7	r	Ah! Um...please try to forget that happened...	game/script.rpy	728	r "[what]"
okay_64733238	r	Ahaha, thanks.	game/script.rpy	732	r "[what]"
okay_2719944b	r	Aww, you big tease!	game/script.rpy	736	r "[what]"
okay_c745ffea	r	Hmph, and I was trying to be cool, too.	game/script.rpy	738	r "[what]"
okay_e87fdc9d	r	Well...I suppose I can forgive you just this once. Hmph.	game/script.rpy	741	r "[what]"
okay_d879c60e	r	Eh? Oi! You!	game/script.rpy	745	r "[what]"
okay_d15d9336	r	You can't just say that, you know!	game/script.rpy	747	r "[what]"
okay_13e35fac	r	Wha-? Are you serious right now?	game/script.rpy	751	r "[what]"
okay_016cc74b	r	{i}*Ahem*{/i}	game/script.rpy	753	r "[what]"
okay_ad100062	r	Look, we've just met, so let's just end it there, okay?	game/script.rpy	755	r "[what]"
okay_f2023d8d	r	Oh, thank goodness. You really had me sweating there.	game/script.rpy	759	r "[what]"
okay_26d45a81	r	Now, let's get back to business, then?	game/script.rpy	761	r "[what]"
okay_4988f13a	r	Oh, come on, lay off me a little, won't you?	game/script.rpy	765	r "[what]"
okay_96fbcb1a	r	Hmph, meanie.	game/script.rpy	767	r "[what]"
okay_13f7cd6a	r	But if you ask really nicely, I suppose I can help answer any questions you might have for me.	game/script.rpy	769	r "[what]"
okay_e87fdc9d_1	r	Well...I suppose I can forgive you just this once. Hmph.	game/script.rpy	775	r "[what]"
okay_fcc3c6af	r	Well...that's a bit embarrassing. Thanks for your understanding though.	game/script.rpy	779	r "[what]"
understand_971a6038	r	As you probably saw, I have some pretty strong opinions. Hope I didn't scare you off though.	game/script.rpy	783	r "[what]"
understand_f76a4ae2	r	Thanks, love.	game/script.rpy	787	r "[what]"
understand_26d45a81	r	Now, let's get back to business, then?	game/script.rpy	789	r "[what]"
understand_d4583d89	r	Um...well...ahaha. Maybe I can help with you something?	game/script.rpy	793	r "[what]"
context_f5f5c6ec	r	Oh? I don't suppose you know what time of the year it is, do you?	game/script.rpy	798	r "[what]"
context_5b698121	r	You're not pulling my leg, are you? I'm being completely serious, this is pretty commmon knowledge.	game/script.rpy	802	r "[what]"
context_e06c8e9b	r	Well, I guess someone has to teach you.	game/script.rpy	804	r "[what]"
context_2d0f3f61	r	Listen up, we're coming up on a special day called Valentines Day.	game/script.rpy	805	r "[what]"
context_a409e34f	r	Oh? So you do know the day.	game/script.rpy	808	r "[what]"
context_a0bc92b9	r	When it comes to Valentines, a lot of good flowers get shipped out the door to never return.	game/script.rpy	810	r "[what]"
context_2e7e62c1	r	It's always been a painful time, every year.	game/script.rpy	811	r "[what]"
context_6707381b	r	It's alright, although I have to say I'm a bit envious about where you're from.	game/script.rpy	817	r "[what]"
context_605a8240	r	Must be nice...	game/script.rpy	819	r "[what]"
context_d4583d89	r	Um...well...ahaha. Maybe I can help with you something?	game/script.rpy	825	r "[what]"
ask_74c4fbd6	r	Is there anything else you're wondering about?	game/script.rpy	829	r "[what]"
ask_85aabc1f	r	Fun? Well, there's never a dull moment with everyone we have here.	game/script.rpy	833	r "[what]"
ask_3c168701	r	I see you've met Sunflower already.	game/script.rpy	835	r "[what]"
ask_ab2d09d6	r	I'm glad to hear that. She's always been one of the friendliest plants here.	game/script.rpy	839	r "[what]"
ask_c0c7c473	r	Treat her nicely, ok?	game/script.rpy	841	r "[what]"
ask_385c133c	r	I know, right? Aww, I'm sure you two will get along splendidly.	game/script.rpy	844	r "[what]"
ask_5465a156	r	You better let her know, she'll be over the moon.	game/script.rpy	845	r "[what]"
ask_ae86cd05	r	It'd be a nice change for her. It's been a while since..no, it's not my place.	game/script.rpy	847	r "[what]"
ask_362cb63d	r	Anyways, tell her that, ok? Even she needs a pick-up every so often.	game/script.rpy	849	r "[what]"
ask_d1e03ef0	r	Well, I suppose I'll see you to Sunflower again then?	game/script.rpy	854	r "[what]"
talkoptions_a1e0f169	r	Want to talk about anything else?	game/script.rpy	859	r "[what]"
talkoptions_d1e03ef0	r	Well, I suppose I'll see you to Sunflower again then?	game/script.rpy	864	r "[what]"
thingsRose_a8232b6b	r	Well, things have been quiet.	game/script.rpy	869	r "[what]"
thingsRose_10c41140	r	Well...I say that, but it's been a rough past month or so...	game/script.rpy	870	r "[what]"
thingsRose_0db3175a	r	We lost a lot of good flowers recently, so it's been tough on all of us.	game/script.rpy	871	r "[what]"
thingsRose_2e887fcd	r	But well, we just have to keep going, right?	game/script.rpy	872	r "[what]"
thingsRose_6308bf64	r	For their sake.	game/script.rpy	873	r "[what]"
thingsRose_eba2b94c	r	Anyways, I rambled long enough. I'll take you back to Sunflower, alright?	game/script.rpy	874	r "[what]"
cactus_a2133977	c	Howdy. The name’s Cactus. Carnegiea gigantea cactus.	game/script.rpy	887	c "[what]"
cactus_0fa19216	c	But you can just call me Cactus.	game/script.rpy	888	c "[what]"
cactus_d175eeae	c	Been a while since we've gotten a new shipment of plants like you. 	game/script.rpy	889	c "[what]"
cactus_24abba10	c	If you've got questions for me 'bout how things work 'round here, by all means feel free to ask.	game/script.rpy	890	c "[what]"
cactus_910e5069	c	Well you're talkin' to a bona-fide Souther Saguaro. Texas born and raised.	game/script.rpy	894	c "[what]"
cactus_0d00c528	c	Bit unusual to see among all these flowers and succulents, I know, but I made the choice to move up all the way here.	game/script.rpy	896	c "[what]"
cactus_558b4dfb	c	Sometimes though I sure do miss the feelin' of that warm Texas sun...	game/script.rpy	898	c "[what]"
cactus_bd8354f5	c	'Specially when you're on the windowsill with all your loved ones... it really warms my spines.	game/script.rpy	899	c "[what]"
cactus_8766a284	c	Er, Not like them human spines if that's what you're thinkin' of.	game/script.rpy	903	c "[what]"
cactus_721eb6a6	c	More like my spikes 'n all. They're called spines.	game/script.rpy	905	c "[what]"
cactus_5c82ca32	c	I sure do!	game/script.rpy	911	c "[what]"
cactus_04240f09	c	I've got my Ma and Pa in Texas, but the extended family's real spread out.	game/script.rpy	912	c "[what]"
cactus_f5e2e08e	c	We got Grandmama Old Lady Hardee and her side of the family in a fancy plant nursery in Arizona, Great-Aunt Opuntia in New Mexico, Uncle Fishhook up in Colorado...	game/script.rpy	913	c "[what]"
cactus_f4d6829c	c	A good while!	game/script.rpy	918	c "[what]"
cactus_d07b15fa	c	I moved here back durin' the summer of last year. Feels like ages ago.	game/script.rpy	920	c "[what]"
cactus_55cc48ee	c	But I promise I'm not that old! You can probably tell how old I am just by lookin' at me.	game/script.rpy	922	c "[what]"
cactus_df66bc84	c	Er, well. Maybe it's not as obvious to folks up here.	game/script.rpy	925	c "[what]"
cactus_9ecff527	c	Compared to like. Y'know. Home.	game/script.rpy	926	c "[what]"
smallTalk_d19f855d	c	...	game/script.rpy	933	c "[what]"
smallTalk_d19f855d_1	c	...	game/script.rpy	936	c "[what]"
smallTalk_9f85b645	c	Yeah.	game/script.rpy	941	c "[what]"
smallTalk_f4ea9c2c	c	Sorry. I'm not exactly the best at this... small talk thing. You'd probably do better talkin' to the others if you wanna strike up a conversation. Day's still young.	game/script.rpy	943	c "[what]"
smallTalk_eef777f5	c	... Really?	game/script.rpy	950	c "[what]"
smallTalk_0aac7090	c	Huh. First time for everything I guess.	game/script.rpy	951	c "[what]"
smallTalk_586591ff	c	It's not like you're weird or anything though!	game/script.rpy	953	c "[what]"
smallTalk_b5f05b02	c	Just... never really got the chance to hang out with the other flowers here.	game/script.rpy	955	c "[what]"
smallTalk_0786d5ac	c	Save for Rose and Sunflower, heh! Those two are lovely flora.	game/script.rpy	957	c "[what]"
smallTalk_2d6f763e	c	Speakin' of which, have you met them yet? You really should!	game/script.rpy	959	c "[what]"
smallTalk_5b2ffadb	c	Aw, nah! Don't worry 'bout me, bud. I'll always be round for a conversation or two. Go meet up with the others.	game/script.rpy	962	c "[what]"
sunflower_8850429d	s	Meeee!?	game/script.rpy	972	s "[what]"
sunflower_042b1bcd	s	Oki-dokie! Gee, I'm flattered!	game/script.rpy	975	s "[what]"
sunflower_528af43e	s	Soooo, I'm Sunflower! You can call me Sunny too. Or Flower, but around here that might get confusing.	game/script.rpy	977	s "[what]"
sunflower_ab79bd5b	s	She series pronouns, please. And...	game/script.rpy	978	s "[what]"
sunflower_e02aa086	s	Well gee, is there anything you wanna know? I'm an open book.	game/script.rpy	979	s "[what]"
fun_71afa6a4	s	Oh, mostly we just sit around collecting dirt. We each get up to our own shennanigans, though.	game/script.rpy	989	s "[what]"
fun_69b64c16	s	I like to chat... a lot.	game/script.rpy	990	s "[what]"
fun_0fc44d13	s	And when I've talked everybody's petals off I tend to soak up some rays in my corner of the greenhouse...	game/script.rpy	991	s "[what]"
fun_abfb929b	s	And of course, perform.	game/script.rpy	992	s "[what]"
fun_e1554201	s	...	game/script.rpy	998	s "[what]"
fun_e1554201_1	s	...	game/script.rpy	999	s "[what]"
fun_0dac26ae	s	Chrys, I am a sunflower.	game/script.rpy	1000	s "[what]"
musicals_aab6e44f	s	YES! I love the theatre! Especially musicals!	game/script.rpy	1013	s "[what]"
musicals_d9e5b2c5	s	You do? It's been so long since I've melt a fellow theatre fan!	game/script.rpy	1016	s "[what]"
musicals_745bb943	s	We'll have to talk all about it later! Oh I could go on for days!	game/script.rpy	1017	s "[what]"
musicals_cd3a6ca1	s	Oh, they're beautiful! Nothing like the spotlight, the sweet sound of a song floating on the air like a scented breeze...	game/script.rpy	1021	s "[what]"
musicals_745bb943_1	s	We'll have to talk all about it later! Oh I could go on for days!	game/script.rpy	1022	s "[what]"
musicals_033bdd32	s	You... want to hear me sing?	game/script.rpy	1026	s "[what]"
musicals_8394fd1c	s	OKAY!	game/script.rpy	1028	s "[what]"
musicals_f75501f4	s	Gee, nobody's asked in so long! I'll do my favorite song...	game/script.rpy	1030	s "[what]"
musicals_1f418cb4	s	The Finale of Ratatouille the Musical!	game/script.rpy	1031	s "[what]"
musicals_5b608507		You understand now why plants don't have vocal chords. The sound emitting from her reminds you of an elephant choking on a rooster. Weirdly, her french accent is perfectly on point.	game/script.rpy	1032	"[what]"
musicals_a0cac8f4	s	Gee, thanks! Maybe I'll perform for you again sometime!	game/script.rpy	1040	s "[what]"
musicals_a0cac8f4_1	s	Gee, thanks! Maybe I'll perform for you again sometime!	game/script.rpy	1044	s "[what]"
musicals_cd3a6ca1_1	s	Oh, they're beautiful! Nothing like the spotlight, the sweet sound of a song floating on the air like a scented breeze...	game/script.rpy	1047	s "[what]"
musicals_745bb943_2	s	We'll have to talk all about it later! Oh I could go on for days!	game/script.rpy	1048	s "[what]"
rant_bcfc40be		You get the impression you won't have a choice in that matter.	game/script.rpy	1052	"[what]"
story_5e580cf6	s	Actually, she's my cousin. As for me, I've been here in the shop for a while. I used to be a big-field kinda gal. It was wonderful! Lots of sun, plenty of neighbors...	game/script.rpy	1058	s "[what]"
story_02946ea0	s	Right? There's nothing I love more in this world than sunshine and company. And I had both!	game/script.rpy	1064	s "[what]"
story_044db32c	s	Staring at the sun together, holding leaves... it made me so... happy...	game/script.rpy	1065	s "[what]"
story_4fe1ef5c	s	It was so romantic...	game/script.rpy	1066	s "[what]"
story_af814d18	s	GAH!? UH...	game/script.rpy	1072	s "[what]"
story_b54f583a	s	N-No! I mean, who's asking!?	game/script.rpy	1073	s "[what]"
story_115d29a3	s	Oh! Gee! Uh, yeah, I'm single. If, uhm, you're asking.	game/script.rpy	1078	s "[what]"
story_752424d0	s	I mean, if anybody is! Yeah, I'm single.	game/script.rpy	1079	s "[what]"
story_7c3a335a	s	N-no worries. Uh, I am single, for the record. Yup.	game/script.rpy	1081	s "[what]"
story_c27146fe	s	Solo. Ace. ...Lonely.	game/script.rpy	1083	s "[what]"
story_de10c4a7	s	I mean, uh. That was a joke.	game/script.rpy	1085	s "[what]"
story_e5b08a57	s	I mean, a quote. A quote joke... from Shakespeare. Teehee.	game/script.rpy	1086	s "[what]"
story_6195e56b	s	He's cool if you're into that. I prefer musicals so I never read him.	game/script.rpy	1090	s "[what]"
story_cf85b732	s	Really, I'm not lonely though. I have such good friends right here!	game/script.rpy	1093	s "[what]"
story_2ca6898b	s	YUP! NEVER BETTER! ALL SUNSHINE AND RAINBOWS OVER HERE! TEEHEE!	game/script.rpy	1097	s "[what]"
story_da7f91f0		{i}She's smiling so hard it looks like it hurts.{/i}	game/script.rpy	1098	"[what]"
story_cf85b732_1	s	Really, I'm not lonely though. I have such good friends right here!	game/script.rpy	1102	s "[what]"
story_be34b034	s	It was. But hey! I'm here now.	game/script.rpy	1106	s "[what]"
story_c2c64f35	s	I like it here. There's way less friends, but they're all good friends. And it's peaceful.	game/script.rpy	1107	s "[what]"
leave_01553950	s	Oh, I just...	game/script.rpy	1111	s "[what]"
leave_a7f9fc2a	s	I just had to go. Some things aren't meant to last. It's like Shakespeare says.	game/script.rpy	1113	s "[what]"
leave_e96e9ef5	s	"Candles go out. Then life's dark and you leave."	game/script.rpy	1114	s "[what]"
leave_dffdcca2	s	It's okay!	game/script.rpy	1118	s "[what]"
leave_c2c64f35	s	I like it here. There's way less friends, but they're all good friends. And it's peaceful.	game/script.rpy	1119	s "[what]"
loop2_771928c8	s	Okie-dokie! Who do you want to meet?	game/script.rpy	1130	s "[what]"
SvMConflict_e4cef4ee	s	You RUINED my window! It's absolutely FILTHY!	game/script.rpy	1140	s "[what]"
SvMConflict_246ccbde	s	Deep breaths, Sunny...	game/script.rpy	1141	s "[what]"
SvMConflict_b43836df	s	Look, all I want is an APOLOGY and for you to SCRUB that GOO off!	game/script.rpy	1142	s "[what]"
SvMConflict_080dc9bc	m	Goo? ‘Scuse me? All that sunlight must’ve blinded ya if you can’t recognize art!	game/script.rpy	1146	m "[what]"
SvMConflict_2426c384	s	ART? THIS IS FILTH!	game/script.rpy	1149	s "[what]"
SvMConflict_89c221a6	s	AND IT’S BLOCKING--	game/script.rpy	1150	s "[what]"
SvMConflict_7c426ad2	s	MY--	game/script.rpy	1151	s "[what]"
SvMConflict_c04f7c75	s	SUNLIGHT!!!	game/script.rpy	1152	s "[what]"
SvMConflict_50782288	s	I was practicing my falsetto over by the seed packets...	game/script.rpy	1158	s "[what]"
SvMConflict_19ccc56d	s	You know, because I don’t wanna break the window glass… again…	game/script.rpy	1159	s "[what]"
SvMConflict_41bf17f2	s	And I came back and there was goo! On the window! In front of my home!	game/script.rpy	1160	s "[what]"
SvMConflict_2722ea9f	m	And I was just taking a break from flexing my body muscles to flex some creative ones.	game/script.rpy	1163	m "[what]"
SvMConflict_9d180203	m	Found this rad spot to put up some fungffiti! How was I supposed to know some plant lived here?	game/script.rpy	1166	m "[what]"
SvMConflict_7142e2ea	s	Because I’m there all the time, every day!	game/script.rpy	1169	s "[what]"
SvMConflict_6467ec80	s	Unlike some of us, I actually LIVE in this flower shop, thank-you-very-much!	game/script.rpy	1170	s "[what]"
SvMConflict_783ad830	m	Well excuse me, miss high-and-mighty! Not all of us get the privilege of living in the shop.	game/script.rpy	1173	m "[what]"
SvMConflict_ea68bc2a	m	If anything I did you a favor. Think of it like stained glass art and just…	game/script.rpy	1174	m "[what]"
SvMConflict_5eb724fe	m	FUNGEDABOUTIT!	game/script.rpy	1179	m "[what]"
SvMConflict_8e1ce236	s	You call that art? It looks a Cats hairball fell in the stage makeup for Wicked!	game/script.rpy	1183	s "[what]"
SvMConflict_5e80c7cd	s	And how can I forget about it when it’s--	game/script.rpy	1184	s "[what]"
SvMConflict_a671a8bc	s	BLOCKING!	game/script.rpy	1185	s "[what]"
SvMConflict_574ff0f5	s	MY!	game/script.rpy	1186	s "[what]"
SvMConflict_e0d05d2e	s	SUNLIGHT!	game/script.rpy	1187	s "[what]"
SvMConflict_e612037c	m	...	game/script.rpy	1190	m "[what]"
SvMConflict_3a52618c	m	So we good then?	game/script.rpy	1192	m "[what]"
SvMConflict_8891b498	s	NO! ABSOLUTELY NOT! YOU VANDALIZED MY WINDOW!	game/script.rpy	1195	s "[what]"
SvMConflict_863b762e		You look over at the window. The “fungfetti” in question seems to depict Mushroom jumping over a venus fly trap while riding a motorcycle, done entirely in some kind of... moss? It’s actually quite impressive and doesn’t seem to be blocking that much light.	game/script.rpy	1196	"[what]"
SvMConflict_02317625	m	Whoa, you really think so? Rad of you to say.	game/script.rpy	1207	m "[what]"
SvMConflict_ddc7be4d	m	I knew there was something I liked about ya. From the first minute I saw you I thought “now this is a plant that knows some good fungffiti when they see it!”	game/script.rpy	1209	m "[what]"
SvMConflict_4219fefd	s	Unbelievable.	game/script.rpy	1212	s "[what]"
SvMConflict_d946ad44	s	Fine, if you guys want to act like total sprouts, be my guest.	game/script.rpy	1213	s "[what]"
SvMConflict_e97ff791	s	As for me, a CULTURED woman, I’m going to…	game/script.rpy	1214	s "[what]"
SvMConflict_cefe7f24	s	Like Shakespeare said--	game/script.rpy	1216	s "[what]"
SvMConflict_0210c654	s	Exit, pursued by berry.	game/script.rpy	1217	s "[what]"
